epoch,acc                ,loss                ,val_acc            ,val_loss
0    ,0.4220000059902668 ,0.040790995806455614,0.47000001221895216,0.04237047135829926
1    ,0.44800000824034214,0.03767942989245057 ,0.45000001043081284,0.03765668887645006
2    ,0.5080000068992376 ,0.03593100745230913 ,0.4000000074505806 ,0.048263782262802125
3    ,0.5060000066459179 ,0.03448659271933138 ,0.5100000083446503 ,0.03351896926760674
4    ,0.5120000074803829 ,0.03440334813669324 ,0.44000000655651095,0.03937407582998276
5    ,0.5280000064522028 ,0.03298212465830147 ,0.46000000089406967,0.03792857900261879
6    ,0.5130000064522028 ,0.033943743333220484,0.47000000774860384,0.03762293495237827
7    ,0.5460000059008598 ,0.031053814720362425,0.5400000005960465 ,0.03640178050845862
8    ,0.5410000066459179 ,0.03137245502322912 ,0.41000000536441805,0.03836228847503662
9    ,0.5450000055134296 ,0.030356866177171468,0.4700000137090683 ,0.03823596239089966
